joint_name,lower_limit,upper_limit,damping,friction,velocity_limit,effort_limit
torso_pitch,-20,70,2,0,,
torso_roll,-30,30,2,0,,
torso_yaw,-50,50,2,0,,
r_hip_pitch,-45,134,2,0,5.1,55.5
r_hip_roll,-20,120,2,0,7.64,37
r_hip_yaw,-80,80,2,0,7.64,37
r_knee,-124,4,2,0,7.64,37
r_ankle_pitch,2,2,2,0,7.64,37
r_ankle_roll,-25,25,2,0,7.64,37
l_hip_pitch,-45,134,2,0,5.1,55.5
l_hip_roll,-20,120,2,0,7.64,37
l_hip_yaw,-80,80,2,0,7.64,37
l_knee,-124,4,2,0,7.64,37
l_ankle_pitch,2,2,2,0,7.64,37
l_ankle_roll,-25,25,2,0,7.64,37
r_shoulder_pitch,-95.5,10,2,0,,
r_shoulder_roll,0,160.8,2,0,,
r_shoulder_yaw,-37,80,2,0,,
r_elbow,15,106,2,0,,
r_wrist_prosup,-60,60,2,0,,
r_wrist_pitch,-80,25,2,0,,
r_wrist_yaw,-20,25,2,0,,
l_shoulder_pitch,-95.5,10,2,0,,
l_shoulder_roll,0,160.8,2,0,,
l_shoulder_yaw,-37,80,2,0,,
l_elbow,15,106,2,0,,
l_wrist_prosup,-60,60,2,0,,
l_wrist_pitch,-80,25,2,0,,
l_wrist_yaw,-20,25,2,0,,
neck_pitch,-40,22,2,0,,
neck_roll,-20,20,2,0,,
neck_yaw,-50,50,2,0,,
eyes_tilt,-30,30,2,0,,
r_eye_pan_joint,-45,45,2,0,,
l_eye_pan_joint,-45,45,2,0,,